"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 12 22:36:08 GMT 2025","Mon May 12 22:36:08 GMT 2025","4","","Row aggregation: hoursBetween function","","","","handles single hour",""
"passed","Mon May 12 22:36:08 GMT 2025","Mon May 12 22:36:08 GMT 2025","0","","Row aggregation: Aggregate classes: DayTypeCounter class","","","","counts single DayTypes",""
"passed","Mon May 12 22:36:08 GMT 2025","Mon May 12 22:36:08 GMT 2025","1","","Row aggregation: hoursBetween function","","","","handles going across days",""
"passed","Mon May 12 22:36:08 GMT 2025","Mon May 12 22:36:08 GMT 2025","1","","Row aggregation: Aggregate classes: TotalHours class","","","","counts work hours",""
"passed","Mon May 12 22:36:36 GMT 2025","Mon May 12 22:36:36 GMT 2025","0","","Date util functions: workhoursInMonth function","","","","handles workhoursPerDay parameter",""
"passed","Mon May 12 22:36:36 GMT 2025","Mon May 12 22:36:36 GMT 2025","0","","Date util functions: workhoursInMonth function","","","","handles general cases",""
"passed","Mon May 12 22:36:36 GMT 2025","Mon May 12 22:36:36 GMT 2025","7","","Date util functions: daysOfWeekInMonth function","","","","handles general cases",""
"passed","Mon May 12 22:36:08 GMT 2025","Mon May 12 22:36:08 GMT 2025","1","","Row aggregation: hoursBetween function","","","","handles longer intervals",""
"passed","Mon May 12 22:36:36 GMT 2025","Mon May 12 22:36:36 GMT 2025","1","","Date util functions: daysOfWeekInMonth function","","","","handles Y2K38 problem",""
"passed","Mon May 12 22:36:08 GMT 2025","Mon May 12 22:36:08 GMT 2025","0","","Row aggregation: Aggregate classes: DayTypeCounter class","","","","sums up multiple DayTypes",""
"passed","Mon May 12 22:36:36 GMT 2025","Mon May 12 22:36:36 GMT 2025","1","","Date util functions: daysOfWeekInMonth function","","","","handles leap year",""
